商品一级类目名称,关键词,支付金额总和,出现次数
个性定制/设计服务/DIY,MG,6911.599999999999,116
个性定制/设计服务/DIY,TTXX,167482.4,1136
个性定制/设计服务/DIY,TV,167482.4,1136
个性定制/设计服务/DIY,XM,99.0,1
个性定制/设计服务/DIY,不,133479.80000000002,986
个性定制/设计服务/DIY,差价,45.0,1
个性定制/设计服务/DIY,支持,167482.4,1136
个性定制/设计服务/DIY,月,174471.2,1252
个性定制/设计服务/DIY,端,167482.4,1136
个性定制/设计服务/DIY,补,45.0,1
保健食品/膳食营养补充食品,D,49.0,1
保健食品/膳食营养补充食品,Swisse,49.0,1
保健食品/膳食营养补充食品,保健品,49.0,1
保健食品/膳食营养补充食品,全家,49.0,1
保健食品/膳食营养补充食品,帽子,49.0,1
保健食品/膳食营养补充食品,斯维诗,49.0,1
保健食品/膳食营养补充食品,柠檬酸,49.0,1
保健食品/膳食营养补充食品,粒蓝,49.0,1
保健食品/膳食营养补充食品,维生素,49.0,1
保健食品/膳食营养补充食品,补钙,49.0,1
保健食品/膳食营养补充食品,钙片,49.0,1
其他,AI,0.0,33
其他,ml,0.0,1
其他,svip,0.0,1
其他,unnyclub,0.0,1
其他,乳,0.0,1
其他,会员,0.0,71
其他,伴鱼,0.0,1
其他,作业,0.0,7
其他,出品,0.0,7
其他,卡,0.0,32
其他,即止,0.0,65
其他,双十,0.0,64
其他,图表,0.0,64
其他,季卡,0.0,40
其他,小样,0.0,1
其他,帮,0.0,7
其他,帮帮,0.0,7
其他,数,0.0,31
其他,数量,0.0,65
其他,月,0.0,32
其他,有限,0.0,65
其他,爱,0.0,33
其他,绘本,0.0,1
其他,识字,0.0,7
其他,赠品,0.0,72
其他,赠完,0.0,65
其他,超值,0.0,7
其他,镝,0.0,31
其他,隔离,0.0,1
办公设备/耗材/相关服务,ip,951.22,60
办公设备/耗材/相关服务,svip,951.22,60
办公设备/耗材/相关服务,vip,977.82,63
办公设备/耗材/相关服务,七猫,26.599999999999998,3
办公设备/耗材/相关服务,专业版,951.22,60
办公设备/耗材/相关服务,会,951.22,60
办公设备/耗材/相关服务,会员,977.82,63
办公设备/耗材/相关服务,免,26.599999999999998,3
办公设备/耗材/相关服务,全功能,26.599999999999998,3
办公设备/耗材/相关服务,剪影,951.22,60
办公设备/耗材/相关服务,剪映,951.22,60
办公设备/耗材/相关服务,员,951.22,60
办公设备/耗材/相关服务,售后,26.599999999999998,3
办公设备/耗材/相关服务,安卓,26.599999999999998,3
办公设备/耗材/相关服务,小说,53.199999999999996,6
办公设备/耗材/相关服务,广告,26.599999999999998,3
办公设备/耗材/相关服务,教程,951.22,60
办公设备/耗材/相关服务,模板,951.22,60
办公设备/耗材/相关服务,永久,977.82,63
办公设备/耗材/相关服务,版,951.22,60
办公设备/耗材/相关服务,版包,26.599999999999998,3
办公设备/耗材/相关服务,电脑,1902.44,120
办公设备/耗材/相关服务,苹果,26.599999999999998,3
办公设备/耗材/相关服务,解锁,26.599999999999998,3
办公设备/耗材/相关服务,送,951.22,60
办公设备/耗材/相关服务,鸿蒙,26.599999999999998,3
咖啡/麦片/冲饮,ML,33.0,1
咖啡/麦片/冲饮,OATLY,33.0,1
咖啡/麦片/冲饮,ml,329.67,4
咖啡/麦片/冲饮,乳品,27.07,1
咖啡/麦片/冲饮,伊利,133.7,2
咖啡/麦片/冲饮,便,33.0,1
咖啡/麦片/冲饮,儿童,27.07,1
咖啡/麦片/冲饮,卓牧,168.9,1
咖啡/麦片/冲饮,原生,93.8,1
咖啡/麦片/冲饮,味,27.07,1
咖啡/麦片/冲饮,咖啡,33.0,1
咖啡/麦片/冲饮,噢,33.0,1
咖啡/麦片/冲饮,大包装,168.9,1
咖啡/麦片/冲饮,大师,33.0,1
咖啡/麦片/冲饮,奶,234.9,3
咖啡/麦片/冲饮,奶山羊,168.9,1
咖啡/麦片/冲饮,娟姗,93.8,1
咖啡/麦片/冲饮,孕妇,168.9,1
咖啡/麦片/冲饮,学生,39.9,1
咖啡/麦片/冲饮,家庭装,168.9,1
咖啡/麦片/冲饮,宾格,27.07,1
咖啡/麦片/冲饮,成人,168.9,1
咖啡/麦片/冲饮,携带,33.0,1
咖啡/麦片/冲饮,整箱,93.8,1
咖啡/麦片/冲饮,早餐,72.9,2
咖啡/麦片/冲饮,植物蛋白,33.0,1
咖啡/麦片/冲饮,燕麦,33.0,1
咖啡/麦片/冲饮,牛奶,54.14,2
咖啡/麦片/冲饮,瑞,27.07,1
咖啡/麦片/冲饮,瓶,33.0,1
咖啡/麦片/冲饮,甜,27.07,1
咖啡/麦片/冲饮,盒,329.67,4
咖啡/麦片/冲饮,礼盒,133.7,2
咖啡/麦片/冲饮,箱,39.9,1
咖啡/麦片/冲饮,精选,168.9,1
咖啡/麦片/冲饮,纯牛奶,133.7,2
咖啡/麦片/冲饮,纯羊,168.9,1
咖啡/麦片/冲饮,老人,168.9,1
咖啡/麦片/冲饮,营养,39.9,1
咖啡/麦片/冲饮,进口,27.07,1
咖啡/麦片/冲饮,金典,93.8,1
咖啡/麦片/冲饮,锡林郭勒,93.8,1
咖啡/麦片/冲饮,限定,93.8,1
咖啡/麦片/冲饮,青少年,168.9,1
咖啡/麦片/冲饮,风味,54.14,2
咖啡/麦片/冲饮,饮料,60.07,2
咖啡/麦片/冲饮,香蕉,27.07,1
咖啡/麦片/冲饮,高钙,93.8,1
咖啡/麦片/冲饮,麦力,33.0,1
彩妆/香水/美妆工具,unnyclub,24.9,1
彩妆/香水/美妆工具,不易,24.9,1
彩妆/香水/美妆工具,定妆,49.8,2
彩妆/香水/美妆工具,持久,24.9,1
彩妆/香水/美妆工具,控油,24.9,1
彩妆/香水/美妆工具,散粉,24.9,1
彩妆/香水/美妆工具,清透,24.9,1
彩妆/香水/美妆工具,瑕,24.9,1
彩妆/香水/美妆工具,盒,24.9,1
彩妆/香水/美妆工具,粉,24.9,1
彩妆/香水/美妆工具,粉饼,24.9,1
彩妆/香水/美妆工具,脱妆女,24.9,1
彩妆/香水/美妆工具,蜜粉,24.9,1
彩妆/香水/美妆工具,遮,24.9,1
教育培训,AI,3317.56,11
教育培训,Excel,839.29,4
教育培训,PDF,10847.92,75
教育培训,PPT,14974.09,95
教育培训,VIP,351.0,2
教育培训,WPS,20650.31,120
教育培训,WPSAI,99.36,1
教育培训,bilibili,2958.52,22
教育培训,excel,904.15,21
教育培训,office,7399.18,28
教育培训,pdf,7061.21,44
教育培训,ppt,790.85,2
教育培训,word,7894.52,63
教育培训,wps,277.62,22
教育培训,一得,2958.52,22
教育培训,下载,351.0,2
教育培训,专业,351.0,2
教育培训,专享,245.45,21
教育培训,丨,124.16,1
教育培训,买,2958.52,22
教育培训,二,2958.52,22
教育培训,会员,24100.27,166
教育培训,作业,351.0,2
教育培训,修图,447.98,6
教育培训,修复,1340.38,19
教育培训,入会,121.29,20
教育培训,全国,351.0,2
教育培训,公式,99.36,1
教育培训,写,2313.01,6
教育培训,写作,790.73,3
教育培训,写文章,99.36,1
教育培训,制作,7676.92,49
教育培训,办公,164.32,3
教育培训,卡,121.29,20
教育培训,卡天,164.32,3
教育培训,含,114.46,1
教育培训,哔哩,5917.04,44
教育培训,团队,351.0,2
教育培训,图文,839.29,4
教育培训,图片,8009.110000000001,45
教育培训,字体,60.28,1
教育培训,季卡天,114.46,1
教育培训,学生,447.98,6
教育培训,官方,21027.29,143
教育培训,导图,4421.84,32
教育培训,小初,351.0,2
教育培训,工具,904.0300000000001,22
教育培训,帮,351.0,2
教育培训,年,23013.600000000002,134
教育培训,年卡,351.0,2
教育培训,年终总结,2205.66,4
教育培训,思维,4421.84,32
教育培训,手机,124.16,1
教育培训,扩写,99.36,1
教育培训,排版,5699.75,40
教育培训,文字,9743.29,53
教育培训,文档,3546.04,23
教育培训,文章生成,7.99,1
教育培训,新,124.16,1
教育培训,智能,790.73,3
教育培训,月,857.75,30
教育培训,模板,7075.4800000000005,42
教育培训,正版,21027.29,143
教育培训,海报,2205.66,4
教育培训,生成,3095.75,8
教育培训,用户,124.16,1
教育培训,直充,124.16,1
教育培训,福利,447.98,6
教育培训,稻壳,60.28,1
教育培训,答疑,351.0,2
教育培训,简历,4421.84,32
教育培训,精讲,351.0,2
教育培训,素材,953.75,5
教育培训,编辑,12024.55,57
教育培训,编辑器,113.30000000000001,19
教育培训,翻译,8952.44,51
教育培训,脑图,7.99,1
教育培训,艺术,60.28,1
教育培训,表格,1630.1399999999999,6
教育培训,视频,351.0,2
教育培训,识别,839.29,4
教育培训,试卷,351.0,2
教育培训,资源,4536.3,33
教育培训,超级,16522.89,114
教育培训,转,14388.51,87
教育培训,转换,2377.72,25
教育培训,软件,6707.81,26
教育培训,输出,1340.38,19
教育培训,高,351.0,2
数字生活,AI,753.0,13
数字生活,APP,1356.0,9
数字生活,B,14496.0,155
数字生活,BL,3408.2,35
数字生活,Bilibili,11432.0,127
数字生活,FM,294.9,5
数字生活,G,1556.0,101
数字生活,ID,119.69999999999999,3
数字生活,JHS,552.0,4
数字生活,JUMP,942.0,38
数字生活,JZ,143.0,1
数字生活,K,2210.83,87
数字生活,KEEP,1490.22,23
数字生活,Keep,2643.07,123
数字生活,MGTV,2720.6000000000004,17
数字生活,MS,572.0,4
数字生活,NBA,2934.2,26
数字生活,NewTV,21238.7,579
数字生活,P,2193.0,23
数字生活,PLUS,35193.8,329
数字生活,QQ,34319.9,295
数字生活,QQSVIP,690.0,10
数字生活,QQ号,1043.0,7
数字生活,SVIP,106187.44,1234
数字生活,SVIPT,666.0,4
数字生活,T,9912.9,497
数字生活,TTXX,293.6,2
数字生活,TV,73905.93000000001,876
数字生活,TVSVIP,138.0,1
数字生活,VIP,264259.19,2858
数字生活,WPS,138.0,1
数字生活,Wink,631.0,5
数字生活,WqS,2420.2,24
数字生活,XM,99.8,1
数字生活,ZDM,198.0,1
数字生活,bilibili,914.0699999999999,12
数字生活,fm,58.8,2
数字生活,iqiyi,108.0,6
数字生活,jd,19904.0,103
数字生活,jq,108.0,6
数字生活,loopy,16.8,1
数字生活,nba,348.0,6
数字生活,nbsp,67.6,2
数字生活,p,2263.9,51
数字生活,qq,44141.0,392
数字生活,qqvip,432.0,7
数字生活,svip,99425.76,1410
数字生活,tv,42387.06,868
数字生活,vip,636602.89,8550
数字生活,weibo,245.0,3
数字生活,wink,122.0,8
数字生活,wps,179.4,3
数字生活,一个月,40861.79,1152
数字生活,一周,5.8,1
数字生活,一年,634626.5,8163
数字生活,一得,1959.2,13
